"","name_img","whiteRatio","sizeRatio","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","fit.cluster"
"1462","img-514.png",361,415,326,392,246,114,152,520,168,180,479,"0.423809523809524",27
"1463","img-515.png",327,486,143,455,263,133,122,502,240,229,318,"0.533333333333333",27
"1464","img-516.png",293,322,228,403,227,144,111,535,191,168,329,"0.47906976744186",27
"1465","img-517.png",329,414,102,487,282,219,85,77,523,280,206,"0.255813953488372",21
"1466","img-518.png",192,414,134,434,224,156,57,39,551,262,163,"0.22093023255814",21
"1467","img-519.png",1182,329,90,617,455,390,328,429,511,514,448,"0.4",25
"1468","img-52.png",80,299,474,394,64,2,260,152,7,34,108,"0.242647058823529",13
"1469","img-520.png",1286,357,144,551,497,343,498,357,568,513,507,"0.5",8
"1470","img-521.png",1366,344,103,536,541,371,387,341,468,539,550,"0.5",8
"1471","img-522.png",1318,326,67,189,688,497,428,419,511,557,550,"0.444444444444444",8
"1472","img-523.png",1266,363,67,582,591,440,343,341,161,557,550,"0.5",6
"1473","img-524.png",1470,235,366,688,537,499,467,459,548,523,507,"0.473684210526316",18
"1474","img-525.png",1427,309,144,531,610,469,467,425,493,523,507,"0.552631578947368",18
"1475","img-526.png",189,426,467,375,122,136,215,365,158,138,189,"0.238888888888889",2
"1476","img-527.png",203,389,443,437,151,175,170,387,213,160,189,"0.233333333333333",2
"1477","img-528.png",311,182,487,390,201,236,194,409,232,236,238,"0.266666666666667",2
"1478","img-529.png",1199,244,398,624,352,382,467,357,527,487,493,"0.368421052631579",9
"1479","img-53.png",57,429,241,411,98,3,38,377,2,16,24,"0.174242424242424",13
"1480","img-530.png",963,403,25,572,455,444,355,425,356,421,334,"0.421052631578947",25
"1481","img-531.png",911,274,319,502,329,343,355,509,511,487,261,"0.263157894736842",10
"1482","img-532.png",300,352,298,500,516,183,59,119,53,179,52,"0.275",5
"1483","img-533.png",176,34,1,17,11,14,281,159,161,179,201,"0.25",13
"1484","img-534.png",405,191,84,47,65,199,601,450,275,389,364,"0.612068965517241",23
"1485","img-535.png",455,235,95,47,65,119,570,560,303,330,364,"0.46551724137931",23
